Topic,Frequency,date,Name
-1,2751,5/8/2020,-1_work_country_well_done
0,886,5/8/2020,0_lim_wong_koh_chan
1,70,5/8/2020,1_parents_son_father_mother
2,188,5/8/2020,2_swag_wer_taxing_gether
3,25,5/8/2020,3_jail_court_justice_judge
4,135,5/8/2020,4_rice_food_cook_restaurant
5,53,5/8/2020,5_parliament_vote_mp_mps
6,50,5/8/2020,6_mask_wear_masks_face
7,21,5/8/2020,7_china_chinese_taiwan_korea
8,8,5/8/2020,8_salary_pay_wage_employers
9,283,5/8/2020,9_healthy_health_bless_wish
10,328,5/8/2020,10_singaporean_singaporeans_proud_blesse...
11,570,5/8/2020,11_birthday_happy_uk_happyy
12,13,5/8/2020,12_police_officers_taser_policemen
13,26,5/8/2020,13_news_media_cnn_reporting
14,58,5/8/2020,14_tour_ktv_place_tours
15,8,5/8/2020,15_flats_rental_rent_housing
16,51,5/8/2020,16_leader_leadership_leaders_great
17,12,5/8/2020,17_buy_sell_sale_selling
18,270,5/8/2020,18_singapura_song_singapor_sing
19,6,5/8/2020,19_condolences_family_condolence_rip
20,47,5/8/2020,20_car_driver_audi_driving
21,23,5/8/2020,21_play_time_soon_soccer
22,29,5/8/2020,22_covid_fight_control_importing
23,1,5/8/2020,23_america_congratulations_wins_congrats
24,23,5/8/2020,24_video_watch_fight_drama
25,339,5/8/2020,25_day_happy_spirit_reviving
26,36,5/8/2020,26_photos_photo_pictures_picture
27,5,5/8/2020,27_trump_bye_lose_america
28,16,5/8/2020,28_aircon_air_planes_airport
29,15,5/8/2020,29_pray_prayers_bless_prayer
30,89,5/8/2020,30_love_songs_romantic_candid
32,6,5/8/2020,32_mrs_trading_bitcoin_investing
33,16,5/8/2020,33_thank_appreciate_dedication_contribut...
34,262,5/8/2020,34_birthday_happy_birthdays_lovely
35,8,5/8/2020,35_imported_cases_import_importing
36,13,5/8/2020,36_money_bank_cash_banks
37,25,5/8/2020,37_laugh_funny_joke_laughing
38,2,5/8/2020,38_deepavali_wishing_wish_wishes
39,4,5/8/2020,39_japan_abe_san_japanese
40,18,5/8/2020,40_dogs_cats_pet_puppies
41,1,5/8/2020,41_girl_pray_praying_prayers
42,11,5/8/2020,42_singaporean_singaporeans_born_chinese
43,7,5/8/2020,43_music_sound_listen_sounds
44,29,5/8/2020,44_team_teams_thank_work
45,2,5/8/2020,45_stupid_dumb_idiots_stupidity
46,12,5/8/2020,46_shame_shameless_shameful_embarrassing
47,21,5/8/2020,47_pink_wear_colour_purple
48,7,5/8/2020,48_malaysia_brunei_indonesia_malaysian
49,6,5/8/2020,49_religion_islam_muslim_muslims
50,3,5/8/2020,50_boar_boars_animals_pig
52,11,5/8/2020,52_thank_thankyou_information_informativ...
54,4,5/8/2020,54_trees_tree_garden_plant
55,6,5/8/2020,55_speech_speeches_speaker_delivered
56,9,5/8/2020,56_virus_infected_viruses_spread
57,10,5/8/2020,57_smoke_smoking_cigarette_ban
58,37,5/8/2020,58_loong_hsien_dear_minister
59,2,5/8/2020,59_iphone_battery_earbuds_charge
61,13,5/8/2020,61_vaccine_vaccines_vaccination_vaccinat...
62,1,5/8/2020,62_cry_crying_tears_cried
63,27,5/8/2020,63_congratulations_congratulationsir_yea...
64,25,5/8/2020,64_sg_luck_sgag_sgunited
65,133,5/8/2020,65_ndp_parade_celebration_celebrations
66,43,5/8/2020,66_morning_nice_day_everyoneeeee
67,32,5/8/2020,67_smile_children_smiles_hug
68,1,5/8/2020,68_zoo_animals_safari_visited
69,8,5/8/2020,69_kindness_compassion_empathy_caring
70,15,5/8/2020,70_wishes_wish_wishing_family
71,21,5/8/2020,71_minister_prime_ministers_great
73,19,5/8/2020,73_wow_stunning_looking_looks
74,2,5/8/2020,74_mooncake_moon_lights_mooncakes
75,7,5/8/2020,75_rip_rbg_rips_ripped
76,3,5/8/2020,76_coast_plan_planner_plans
77,5,5/8/2020,77_never_nothing_stupid_nope
78,6,5/8/2020,78_luck_lucky_chance_prize
80,7,5/8/2020,80_sad_sadhu_sadness_depressing
81,8,5/8/2020,81_great_excellent_superb_fabulous
82,115,5/8/2020,82_day_everyone_happy_celebrate
83,3,5/8/2020,83_token_trace_scan_collect
84,2,5/8/2020,84_sleep_sleeping_asleep_sleepy
85,1,5/8/2020,85_teacher_teachers_school_malay
86,12,5/8/2020,86_country_countries_world_lanka
87,39,5/8/2020,87_hero_heroes_warrior_brave
88,16,5/8/2020,88_nice_wow_byebye_niceeeee
90,12,5/8/2020,90_beautiful_lovely_istana_gorgeous
91,1,5/8/2020,91_rainbow_covenant_rainbows_god
92,11,5/8/2020,92_yes_agree_agreed_totally
93,4,5/8/2020,93_jamus_jam_bagus_cockle
95,1,5/8/2020,95_moon_halos_venus_mars
96,16,5/8/2020,96_bless_blesses_miracle_woo
97,9,5/8/2020,97_pandemic_fatigue_covid_us
-1,1462,12/8/2020,-1_work_country_well_done
0,1081,12/8/2020,0_lim_wong_koh_chan
1,44,12/8/2020,1_parents_son_father_mother
2,87,12/8/2020,2_swag_wer_taxing_gether
3,12,12/8/2020,3_jail_court_justice_judge
4,47,12/8/2020,4_rice_food_cook_restaurant
5,20,12/8/2020,5_parliament_vote_mp_mps
6,34,12/8/2020,6_mask_wear_masks_face
7,25,12/8/2020,7_china_chinese_taiwan_korea
8,36,12/8/2020,8_salary_pay_wage_employers
9,14,12/8/2020,9_healthy_health_bless_wish
10,6,12/8/2020,10_singaporean_singaporeans_proud_blesse...
12,9,12/8/2020,12_police_officers_taser_policemen
13,23,12/8/2020,13_news_media_cnn_reporting
14,46,12/8/2020,14_tour_ktv_place_tours
15,78,12/8/2020,15_flats_rental_rent_housing
16,11,12/8/2020,16_leader_leadership_leaders_great
17,56,12/8/2020,17_buy_sell_sale_selling
18,8,12/8/2020,18_singapura_song_singapor_sing
20,24,12/8/2020,20_car_driver_audi_driving
21,21,12/8/2020,21_play_time_soon_soccer
22,25,12/8/2020,22_covid_fight_control_importing
24,7,12/8/2020,24_video_watch_fight_drama
25,2,12/8/2020,25_day_happy_spirit_reviving
26,35,12/8/2020,26_photos_photo_pictures_picture
27,1,12/8/2020,27_trump_bye_lose_america
