Topic,Frequency,date,Name
21,6,14/4/2020,21_election_pap_vote_party
22,47,14/4/2020,22_government_govt_governance_sg
23,5,14/4/2020,23_mrt_bus_buses_train
24,33,14/4/2020,24_team_hard_teams_appreciate
25,7,14/4/2020,25_test_testing_tested_tests
26,47,14/4/2020,26_dorms_dormitories_dormitory_dorm
27,37,14/4/2020,27_lot_alot_thanksa_thankspm
28,3,14/4/2020,28_circuit_breaker_measures_extend
29,28,14/4/2020,29_sg_united_strong_congratulations
30,86,14/4/2020,30_bangladesh_bangladeshi_love_respect
31,2,14/4/2020,31_drink_language_sip_tea
32,3,14/4/2020,32_otters_animals_otter_fishes
33,10,14/4/2020,33_pray_praying_prayers_prayer
34,33,14/4/2020,34_exercise_jogging_exercising_cycling
36,3,14/4/2020,36_sad_suicide_cry_crying
37,22,14/4/2020,37_love_dear_leemagiccup_amorous
38,2,14/4/2020,38_eat_food_eating_dine
39,36,14/4/2020,39_migrant_workers_migrants_care
40,2,14/4/2020,40_extend_cb_ccb_extension
41,11,14/4/2020,41_thankyou_thankyouswitzerrland_hon_app...
42,6,14/4/2020,42_safe_stay_keep_calm
43,3,14/4/2020,43_mothers_mothership_mums_mum
44,9,14/4/2020,44_singapura_majulah_singapor_majullah
45,9,14/4/2020,45_lockdown_lock_partial_curve
48,2,14/4/2020,48_speech_speeches_reassuring_spoken
49,1,14/4/2020,49_condolences_annabel_ms_condolence
51,16,14/4/2020,51_loong_kuan_yew_salute
52,1,14/4/2020,52_privacy_tracetogether_tracing_bluetoo...
53,10,14/4/2020,53_job_great_good_well
55,8,14/4/2020,55_hope_dream_chance_juliet
56,3,14/4/2020,56_song_sing_music_voice
57,30,14/4/2020,57_news_hapugalle_media_sharing
58,2,14/4/2020,58_conditioning_solar_coal_energy
59,2,14/4/2020,59_hero_heroes_batman_heros
63,9,14/4/2020,63_congratulations_proud_muthukumarasamy...
64,3,14/4/2020,64_photo_picture_photos_pic
65,6,14/4/2020,65_ministers_cabinet_appreciate_prime
66,3,14/4/2020,66_vaccine_vaccines_antibodies_flu
69,23,14/4/2020,69_recovery_discharged_wishing_discharge
72,1,14/4/2020,72_pasta_cheese_sauce_bacon
73,2,14/4/2020,73_vietnam_vietnamese_viet_donations
75,8,14/4/2020,75_bless_shepherd_flock_fauna
76,1,14/4/2020,76_video_videos_youtube_tv
77,1,14/4/2020,77_amazing_awesome_excellent_fantastic
79,10,14/4/2020,79_leader_politician_austrian_mendelsohn
80,3,14/4/2020,80_bid_bundle_bidders_osso
81,4,14/4/2020,81_bless_blessed_lord_blessing
82,1,14/4/2020,82_rip_sad_ndp_loss
84,9,14/4/2020,84_love_thanks_beloved_raley
-1,1404,17/4/2020,-1_together_bless_well_everyone
0,284,17/4/2020,0_ng_lim_wong_yang
1,193,17/4/2020,1_money_pay_jobs_salary
