Topic,Frequency,date,Name
40,105,21/6/2020,40_pink_tie_color_wear
41,13,21/6/2020,41_social_ambassadors_ambassador_gatheri...
42,14,21/6/2020,42_goodmorning_goodluck_lidder_mmorning
43,8,21/6/2020,43_support_supporting_heartedly_izzy
44,6,21/6/2020,44_wishes_wish_administration_victories
45,5,21/6/2020,45_happy_children_fulfilled_fukasawa
46,7,21/6/2020,46_parliament_opposition_debates_debate
47,12,21/6/2020,47_hello_dear_cavair_archana
48,13,21/6/2020,48_police_enforcement_fined_laws
49,11,21/6/2020,49_china_chinese_mandarin_coronavirus
51,2,21/6/2020,51_congratulations_dear_welcome_respecte...
52,8,21/6/2020,52_evening_night_goodnight_nights
53,4,21/6/2020,53_song_rendition_sang_singing
54,10,21/6/2020,54_hero_super_superman_star
55,8,21/6/2020,55_job_jobs_worked_rewarded
56,4,21/6/2020,56_liverpool_fan_fc_fans
57,2,21/6/2020,57_esm_contributions_missed_contribution
58,7,21/6/2020,58_allah_bless_pray_insha
59,36,21/6/2020,59_video_watching_watch_screen
60,11,21/6/2020,60_malaysia_malay_malaysian_malays
61,71,21/6/2020,61_afternoon_osaka_dear_japan
62,11,21/6/2020,62_bangladesh_bangladeshi_workers_respec...
63,6,21/6/2020,63_shake_hands_fist_hand
64,16,21/6/2020,64_thanks_pro_sb_thankspro
65,14,21/6/2020,65_smile_happy_smiling_glad
66,3,21/6/2020,66_bless_diversity_squash_blessfor
67,11,21/6/2020,67_win_seat_winner_seats
68,16,21/6/2020,68_day_holiday_weekend_holidays
69,7,21/6/2020,69_win_victory_champion_winner
-1,1662,23/6/2020,-1_support_well_need_leader
0,470,23/6/2020,0_lim_jia_lai_jin
1,192,23/6/2020,1_health_healthy_stay_leadership
2,109,23/6/2020,2_singaporean_singaporeans_opposition_pa...
3,100,23/6/2020,3_frontliners_fu_fuel_frontliner
4,46,23/6/2020,4_minister_prime_cabinet_ministers
5,1,23/6/2020,5_congratulations_onward_journey_go
6,65,23/6/2020,6_mask_wear_wearing_masks
7,39,23/6/2020,7_hsien_singapure_congratulations_strong...
8,387,23/6/2020,8_retirement_retire_happy_contribution
9,65,23/6/2020,9_suicide_pain_parents_family
10,22,23/6/2020,10_border_malaysia_borders_causeway
11,57,23/6/2020,11_tcb_hougang_tanjong_sengkang
